dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message;wazuh_rule_level;wazuh_rule_id;wazuh_decoder;wazuh_groups;wazuh_rule_description
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;252;252;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/part_sun.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/part_sun.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049419', now it is '1049140'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;253;253;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/zfscrypt.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/zfscrypt.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049431', now it is '1049152'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;254;254;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/cbtable.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/cbtable.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049432', now it is '1049153'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;255;255;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/setjmp.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/setjmp.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049436', now it is '1049157'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;256;256;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/minix2_be.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/minix2_be.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049438', now it is '1049159'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;257;257;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/minix_be.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/minix_be.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049440', now it is '1049161'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;258;258;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/gzio.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/gzio.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479755'
Old inode was: '1049441', now it is '1049162'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;259;259;;WARNING;554;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.5XCxauVzBy/pubring.gpg;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt-key-gpghome.5XCxauVzBy/pubring.gpg' added
Mode: realtime
";5;554;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_added"",""syscheck_file""]";File added to the system.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;260;260;;WARNING;554;syscheck_new_entry; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1jrTWx;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_new_entry;"File '/tmp/apt.data.1jrTWx' added
Mode: realtime
";5;554;syscheck_new_entry;"[""ossec"",""syscheck"",""syscheck_entry_added"",""syscheck_file""]";File added to the system.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;261;261;;WARNING;510;rootcheck; ;machine-2; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;262;262;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1jrTWx;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.data.1jrTWx' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;263;263;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.sig.mBWMlX;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.sig.mBWMlX' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;264;264;;WARNING;510;rootcheck; ;machine-2; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;265;265;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '8241' to '11004'
Old md5sum was: '0f1b3396ebec6e21d1cf961f68a04785'
New md5sum is : 'c61d25c9d44baae7156e0aa6c6dc2442'
Old sha1sum was: '59336f0b95a9f1e36d4e8bede9b5c784ffc66595'
New sha1sum is : 'c981fdc550b82349aa6c358734271475b45891ff'
Old sha256sum was: '804ac1d3e63492f7dc86b48277954647f094ee7df97dee46c26577144560d60c'
New sha256sum is : 'a53877536e03a2bf01bb53f44606dbc36505066fdfd62078df46e41c2be1169c'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;266;266;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '21725' to '24309'
Old md5sum was: 'f49da26ef9af44edcf15161fc3edfdae'
New md5sum is : '836308f0ff533a8bdc16dfb9b54c9615'
Old sha1sum was: 'e0b65a10e16276da3a392c8628a268db36e50ab2'
New sha1sum is : 'af6889b389162be80548dd96475f02c2c8b00146'
Old sha256sum was: '25fc376adcb35ba8e1288179c1ed96793b2e9e637855c10c7f4f576fa6084ef9'
New sha256sum is : '93a624e14ae46cab6c1bbbab693066ad3a0ada93e3b39f4ce09da73a039ffe8b'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;267;267;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '24309' to '24730'
Old md5sum was: '836308f0ff533a8bdc16dfb9b54c9615'
New md5sum is : 'd88ef92a5c9623c4d796ff3ae9b026dc'
Old sha1sum was: 'af6889b389162be80548dd96475f02c2c8b00146'
New sha1sum is : 'a144662b7a10f8fda83596b9a0b9625e783abb58'
Old sha256sum was: '93a624e14ae46cab6c1bbbab693066ad3a0ada93e3b39f4ce09da73a039ffe8b'
New sha256sum is : '7a84c3286c0d51fdeb6953e97ad0e78894bfe7a3b3c4967b526c522c2a2fde92'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;268;268;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '24730' to '32173'
Old md5sum was: 'd88ef92a5c9623c4d796ff3ae9b026dc'
New md5sum is : '41dacc26ec091b550ca0ae27a01888fd'
Old sha1sum was: 'a144662b7a10f8fda83596b9a0b9625e783abb58'
New sha1sum is : '222963a80bc0711d2d7df56024b3124ab5e46930'
Old sha256sum was: '7a84c3286c0d51fdeb6953e97ad0e78894bfe7a3b3c4967b526c522c2a2fde92'
New sha256sum is : '246789b471240bfea83e5fa4aa5edd158f0c4db7b07cb2e80a34639abbe6e6ef'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;269;269;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '36047' to '37303'
Old md5sum was: 'ed31a0284073247c1ec9745964838aef'
New md5sum is : 'b8da5015d35b3603f7717f1da2aa06a7'
Old sha1sum was: '444d399aebbd7fd96d2308a873050d809225cf56'
New sha1sum is : '719660700e92405084fe52abf30f4b9a801e6ec2'
Old sha256sum was: 'cc95b69addf8d66c6acadee1752a18235f466abda43d7be336044fa30d9e520e'
New sha256sum is : '45b70916388fd9dfe9d2dbb3c4a2e918dc61503543b7d05cff0d3d24d2035f5d'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;270;270;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '43253' to '47908'
Old md5sum was: 'b8da5015d35b3603f7717f1da2aa06a7'
New md5sum is : '4bd5806bee87d38dba49f0ccd2691288'
Old sha1sum was: '719660700e92405084fe52abf30f4b9a801e6ec2'
New sha1sum is : '39005d64f47b1363daaedb64be23f6c6ec615399'
Old sha256sum was: '45b70916388fd9dfe9d2dbb3c4a2e918dc61503543b7d05cff0d3d24d2035f5d'
New sha256sum is : '14da73df63e86bb33adf84aa79bf2d123db8bd4f5c1331d9b16538628ac1022c'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;271;271;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size
Size changed from '37303' to '43253'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;272;272;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '63126' to '69973'
Old md5sum was: 'e9ad39b3680ad5ba846acfafd6a56379'
New md5sum is : '3f01b3ed45d9bb7906aceaed6aa98898'
Old sha1sum was: '29f1887662a85c52ebbb67009d373b9c51ed990e'
New sha1sum is : '713b1bb50957d35edf70071075bd4b7064953644'
Old sha256sum was: 'f5c639016d0b1af3d2a95c636127ce4093973a8defeb11400468e4b182626c1a'
New sha256sum is : 'b06f9e0aa0990fe7d33bee4e7c6b8f85e1f31caa1ae3f2de0013fec9ca310437'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;273;273;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '82532' to '88019'
Old md5sum was: '5cacce06a525d6d821a8bfb4b3b7df43'
New md5sum is : '58b4d05f2e713deb2771fdfb880fefc1'
Old sha1sum was: '1a3bcb34b247d82d9f01d4514882878f88ad814f'
New sha1sum is : '85e6b4e7f3a5277b5709442f25a143d655e72aee'
Old sha256sum was: 'e0b41b5268f64f4a4ceceec99da7b1ae34194cb5082afb45a9d42cc778fb413b'
New sha256sum is : '8595e78fe385f6a1db720203ada8bbd22346a3c570f50a8234941998a051f8c0'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;274;274;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt.data.1VlK9z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '93217' to '98272'
Old md5sum was: '1fcac21f6353e237a6eea22b7f6fafe5'
New md5sum is : 'de98dedfd312ed86eb8e131e450edbab'
Old sha1sum was: 'db1b7fe11e9ef947330085e05b81b81618f9fe2c'
New sha1sum is : 'bc070ef909d4327b0fb28e8657b17f3c7154eccc'
Old sha256sum was: 'c8e665d43f6bffa5057fac729235516d47d7fd3c57fbd8aa6faee7a023dd9fc6'
New sha256sum is : 'aad1ce5cdd0e13f2b08b58598f0891d88ab181a3dcb3881ad581bd9caefb659a'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;275;275;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.7hQCX4gTAk/gpg.1.sh;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt-key-gpghome.7hQCX4gTAk/gpg.1.sh' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;276;276;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.7hQCX4gTAk/pubring.gpg;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt-key-gpghome.7hQCX4gTAk/pubring.gpg' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;277;277;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.YW3IGjwcpS/pubring.gpg;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/tmp/apt-key-gpghome.YW3IGjwcpS/pubring.gpg' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '0' to '2236'
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : 'ba1e26dbb40b6a771c26f3e8c7b436d6'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'd940bbd5eabc86f14cfeacc686df3ea6fdcf2337'
Old sha256sum was: 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'
New sha256sum is : 'ed9df9acf98c9e400e20bc84a44b06f0aac61731c69f347349ed53c6cc4107c9'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;278;278;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/efi/EFI/ubuntu/grub.cfg;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/efi/EFI/ubuntu/grub.cfg' modified
Mode: scheduled
Changed attributes: mtime
Old modification time was: '1696137074', now it is '1697479754'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;279;279;;WARNING;554;syscheck_new_entry; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.YW3IGjwcpS/gpg.1.sh;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_new_entry;"File '/tmp/apt-key-gpghome.YW3IGjwcpS/gpg.1.sh' added
Mode: realtime
";5;554;syscheck_new_entry;"[""ossec"",""syscheck"",""syscheck_entry_added"",""syscheck_file""]";File added to the system.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;280;280;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.YW3IGjwcpS/gpg.1.sh;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt-key-gpghome.YW3IGjwcpS/gpg.1.sh' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;281;281;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.YW3IGjwcpS/pubring.orig.gpg;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt-key-gpghome.YW3IGjwcpS/pubring.orig.gpg' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;282;282;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.conf.fwXGVX;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.conf.fwXGVX' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;283;283;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.sig.HGVo8F;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.sig.HGVo8F' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;284;284;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/locale/en_CA.mo;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/locale/en_CA.mo' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479754'
Old inode was: '1048891', now it is '1048894'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;285;285;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/locale/en@quot.mo;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/locale/en@quot.mo' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479754'
Old inode was: '1049175', now it is '1048896'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;286;286;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt-key-gpghome.RiQzx1Nqmb/pubring.gpg;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt-key-gpghome.RiQzx1Nqmb/pubring.gpg' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;287;287;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.conf.nlYOnd;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.conf.nlYOnd' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;288;288;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.data.1VlK9z;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.data.1VlK9z' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;289;289;;WARNING;553;syscheck_deleted; ;machine-2; ;; ; ; ; ; ;;; ;/tmp/apt.sig.Lr3May;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_deleted;"File '/tmp/apt.sig.Lr3May' deleted
Mode: realtime
";7;553;syscheck_deleted;"[""ossec"",""syscheck"",""syscheck_entry_deleted"",""syscheck_file""]";File deleted.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;290;290;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/fonts/unicode.pf2;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/fonts/unicode.pf2' modified
Mode: scheduled
Changed attributes: mtime
Old modification time was: '1696137075', now it is '1697479755'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;291;291;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/usbserial_usbdebug.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/usbserial_usbdebug.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479754'
Old inode was: '1049178', now it is '1048899'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;292;292;;WARNING;550;syscheck_integrity_changed; ;machine-2; ;; ; ; ; ; ;;; ;/boot/grub/x86_64-efi/relocator.mod;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/boot/grub/x86_64-efi/relocator.mod' modified
Mode: scheduled
Changed attributes: mtime,inode
Old modification time was: '1696137074', now it is '1697479754'
Old inode was: '1049182', now it is '1048903'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
